solver,target,n_features,n_pu,species,n_solutions,cost,time
gurobi,0.5,41,50000,"amekes,amerob,annhum,barswa,brdowl,bewwre,bnhcow,brncre,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,houspa,houwre,hutvir,macwar,orcwar,pinsis,pilwoo,pasfly,purfin,purmar,redcro,stejay,swathr,treswa,daejun,yerwar,vigswa,wooduc,yelwar",1,1667036188,5.434000000000083
gurobi,0.6,41,50000,"amegfi,amerob,annhum,barswa,belkin1,brebla,batpig1,bushti,cangoo,chbchi,coohaw,evegro,norfli,foxspa,houwre,hutvir,macwar,norhar1,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,savspa,sonspa,stejay,treswa,daejun,yerwar,varthr,vigswa,westan,wlswar",1,2834229796,5.049000000000092
gurobi,0.7000000000000001,41,50000,"amerob,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,cangoo,cedwax,chispa,amecro,eucdov,eursta,norfli,houspa,macwar,norhar1,orcwar,olsfly,osprey,pilwoo,pasfly,purfin,purmar,rebnut,rocpig,rethaw,sonspa,stejay,swathr,towwar,treswa,varthr,vigswa,whcspa,wilsni1,wlswar,wooduc,yelwar",1,6028877596,5.0219999999999345
gurobi,0.8,41,50000,"amekes,barswa,brdowl,belkin1,bnhcow,bkhgro,brebla,brncre,bushti,chbchi,cedwax,comrav,eucdov,norfli,foxspa,gockin,haiwoo,houspa,hutvir,macwar,norhar1,orcwar,olsfly,osprey,pacwre1,purfin,purmar,rebnut,rethaw,rewbla,savspa,sora,spotow,treswa,daejun,yerwar,vigswa,warvir,wilsni1,wlswar,yelwar",1,10211258010,5.18100000000004
gurobi,0.9,41,50000,"amegfi,amekes,barswa,brdowl,belkin1,bnhcow,brebla,brncre,chbchi,cedwax,coohaw,dowwoo,eursta,evegro,foxspa,gockin,haiwoo,houspa,macwar,moudov,orcwar,olsfly,osprey,pasfly,purfin,rebnut,rebsap,redcro,rethaw,rufhum,sora,sonspa,towwar,treswa,daejun,varthr,warvir,whcspa,westan,wooduc,yelwar",1,16063998852,4.461999999999989
gurobi,0.1,72,50000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,39243975,10.782999999999902
gurobi,0.2,72,50000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,146506822,13.154999999999973
gurobi,0.30000000000000004,72,50000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,378448110,11.829999999999927
gurobi,0.4,72,50000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,841008566,8.607999999999947
gurobi,0.5,72,50000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,1654306020,8.441000000000031
gurobi,0.6,72,50000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,3377212740,8.337999999999965
gurobi,0.7000000000000001,72,50000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,6107755295,8.241999999999962
gurobi,0.8,72,50000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,10064110252,7.58400000000006
gurobi,0.9,72,50000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,16380310577,7.41800000000012
gurobi,0.1,10,100000,"baleag,brebla,macwar,pinsis,rufhum,savspa,yerwar,vigswa,whcspa,wooduc",1,43103399,2.9170000000001437
gurobi,0.2,10,100000,"annhum,brdowl,brebla,houfin,houwre,pinsis,purmar,savspa,sonspa,yelwar",1,277359207,3.7770000000000437
gurobi,0.30000000000000004,10,100000,"amegfi,annhum,belkin1,norfli,macwar,pacwre1,pasfly,rethaw,vigswa,wilsni1",1,689711051,3.7280000000000655
gurobi,0.4,10,100000,"amekes,barswa,brdowl,bushti,osprey,pilwoo,rethaw,swathr,whcspa,wlswar",1,926171903,3.6900000000000546
gurobi,0.5,10,100000,"annhum,baleag,pilwoo,rewbla,savspa,sora,towwar,daejun,westan,wooduc",1,2684958555,3.0839999999998327
gurobi,0.6,10,100000,"batpig1,eucdov,evegro,houspa,olsfly,pinsis,sonspa,varthr,warvir,yelwar",1,6699578284,4.854000000000042
gurobi,0.7000000000000001,10,100000,"annhum,baleag,bewwre,bnhcow,batpig1,gockin,houfin,macwar,redcro,vigswa",1,9494311088,3.1240000000000236
gurobi,0.8,10,100000,"amekes,bnhcow,dowwoo,eucdov,rocpig,rethaw,spotow,towwar,vigswa,westan",1,16884622002,3.02599999999984
gurobi,0.9,10,100000,"amegfi,annhum,barswa,batpig1,dowwoo,eursta,houwre,olsfly,purfin,rewbla",1,28457103766,2.7870000000000346
gurobi,0.1,41,100000,"amekes,amerob,baleag,barswa,brdowl,belkin1,bnhcow,bushti,chbchi,cedwax,dowwoo,eucdov,eursta,gockin,haiwoo,houfin,houwre,hutvir,macwar,orcwar,olsfly,osprey,pilwoo,pasfly,purfin,purmar,rebsap,redcro,rewbla,sora,sonspa,stejay,swathr,towwar,yerwar,varthr,vigswa,warvir,whcspa,wilsni1,wooduc",1,55211597,13.494000000000142
