solver,target,n_features,n_pu,species,n_solutions,cost,time
gurobi,0.4,10,37128,"brdowl,bewwre,chbchi,eucdov,macwar,pilwoo,rebnut,rethaw,sonspa,wlswar",1,178063677,1.3810000000012224
gurobi,0.5,10,37128,"annhum,bkhgro,chbchi,chispa,gockin,orcwar,rewbla,sora,yerwar,varthr",1,991946828,1.3299999999944703
gurobi,0.6,10,37128,"amegfi,barswa,houspa,pilwoo,pasfly,purmar,rufhum,sora,sonspa,towwar",1,2447148096,1.0619999999980791
gurobi,0.7000000000000001,10,37128,"amerob,brdowl,bushti,chispa,norfli,gockin,macwar,pilwoo,rethaw,wilsni1",1,3503467486,1.4939999999987776
gurobi,0.8,10,37128,"bnhcow,brebla,eursta,osprey,pinsis,rebnut,rocpig,spotow,swathr,wlswar",1,6458883111,1.1460000000006403
gurobi,0.9,10,37128,"amerob,batpig1,cedwax,dowwoo,gockin,houwre,osprey,pinsis,stejay,yerwar",1,6591548094,0.9579999999987194
gurobi,0.1,26,37128,"barswa,brdowl,bushti,chbchi,cedwax,chispa,coohaw,eucdov,eursta,evegro,gockin,houwre,hutvir,olsfly,osprey,pilwoo,purfin,rebnut,rocpig,rufhum,swathr,treswa,daejun,warvir,wlswar,wooduc",1,18508178,4.758999999998196
gurobi,0.2,26,37128,"amegfi,bnhcow,brebla,brncre,bushti,cangoo,chbchi,chispa,coohaw,comrav,dowwoo,norfli,foxspa,houfin,moudov,orcwar,osprey,rebnut,rebsap,rethaw,rewbla,sora,towwar,treswa,yerwar,wilsni1",1,72125280,3.2520000000004075
gurobi,0.30000000000000004,26,37128,"amekes,amerob,baleag,bewwre,chbchi,cedwax,coohaw,evegro,haiwoo,houspa,orcwar,olsfly,pacwre1,pasfly,redcro,rethaw,rewbla,savspa,spotow,towwar,treswa,yerwar,vigswa,westan,wooduc,yelwar",1,229612638,3.161000000000058
gurobi,0.4,26,37128,"amerob,annhum,baleag,barswa,brebla,bushti,amecro,eucdov,foxspa,gockin,houfin,olsfly,osprey,pacwre1,pinsis,pilwoo,rebsap,rocpig,sora,sonspa,stejay,swathr,treswa,yerwar,vigswa,wooduc",1,556377443,2.764999999999418
gurobi,0.5,26,37128,"amegfi,amekes,amerob,annhum,baleag,brdowl,bkhgro,brncre,bushti,cedwax,foxspa,gockin,haiwoo,houwre,pilwoo,purmar,rebnut,rewbla,savspa,sora,spotow,towwar,daejun,warvir,westan,wilsni1",1,964712971,8.766999999999825
gurobi,0.6,26,37128,"amegfi,annhum,barswa,bnhcow,brebla,bushti,amecro,eucdov,norfli,gockin,haiwoo,houfin,houwre,norhar1,pacwre1,pinsis,pilwoo,rebnut,redcro,rewbla,sora,sonspa,stejay,varthr,vigswa,wooduc",1,1845772924,5.485000000000582
gurobi,0.7000000000000001,26,37128,"amerob,annhum,baleag,belkin1,bnhcow,bushti,cangoo,cedwax,coohaw,amecro,evegro,foxspa,gockin,haiwoo,houfin,houspa,moudov,orcwar,pasfly,purfin,purmar,rethaw,rewbla,stejay,westan,yelwar",1,4603154127,2.4909999999945285
gurobi,0.8,26,37128,"amegfi,bnhcow,brncre,batpig1,cangoo,chbchi,comrav,amecro,dowwoo,eursta,evegro,norfli,houspa,moudov,osprey,purfin,purmar,rebnut,rebsap,redcro,rewbla,savspa,stejay,treswa,vigswa,westan",1,7511983239,2.4199999999982538
gurobi,0.9,26,37128,"annhum,baleag,belkin1,bnhcow,bkhgro,brebla,batpig1,bushti,chbchi,cedwax,dowwoo,norfli,houspa,macwar,moudov,orcwar,pilwoo,pasfly,rocpig,rethaw,sonspa,swathr,westan,wlswar,wooduc,yelwar",1,12041278188,2.3919999999998254
gurobi,0.1,41,37128,"amegfi,amekes,amerob,baleag,brdowl,belkin1,bnhcow,bkhgro,brncre,batpig1,bushti,coohaw,dowwoo,evegro,houfin,hutvir,macwar,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purmar,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,sora,sonspa,spotow,treswa,varthr,vigswa,warvir,whcspa,westan",1,20869079,4.666000000004715
gurobi,0.2,41,37128,"amegfi,baleag,barswa,brdowl,bewwre,brebla,brncre,bushti,cangoo,cedwax,chispa,coohaw,comrav,amecro,dowwoo,norfli,foxspa,gockin,houfin,houspa,houwre,hutvir,macwar,norhar1,olsfly,osprey,pacwre1,pinsis,pasfly,purfin,rufhum,rewbla,sora,stejay,yerwar,varthr,vigswa,westan,wlswar,wooduc,yelwar",1,89130304,4.8289999999979045
gurobi,0.30000000000000004,41,37128,"amekes,amerob,annhum,baleag,brdowl,belkin1,bewwre,brebla,brncre,batpig1,chbchi,coohaw,comrav,amecro,eucdov,norfli,foxspa,gockin,houspa,macwar,norhar1,orcwar,olsfly,pacwre1,pinsis,pilwoo,purmar,rebnut,rebsap,redcro,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,daejun,yerwar,wilsni1,wlswar",1,275268540,4.8950000000040745
gurobi,0.4,41,37128,"amegfi,amerob,annhum,baleag,barswa,belkin1,bkhgro,brebla,brncre,batpig1,cangoo,chbchi,coohaw,amecro,haiwoo,houfin,hutvir,macwar,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,rebsap,redcro,rocpig,rufhum,savspa,stejay,swathr,towwar,varthr,vigswa,whcspa,westan,wooduc,yelwar",1,561706736,3.746999999995751
gurobi,0.5,41,37128,"amegfi,amerob,annhum,bewwre,bkhgro,brncre,cedwax,coohaw,amecro,eucdov,eursta,evegro,norfli,foxspa,haiwoo,houfin,houwre,hutvir,norhar1,orcwar,olsfly,pacwre1,pinsis,pilwoo,purfin,redcro,rocpig,rufhum,rewbla,savspa,sora,sonspa,spotow,swathr,towwar,daejun,yerwar,varthr,vigswa,whcspa,wilsni1",1,1081511706,4.798999999999069
gurobi,0.6,41,37128,"annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brncre,batpig1,cangoo,chbchi,amecro,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houwre,hutvir,moudov,norhar1,pacwre1,pinsis,pasfly,purfin,purmar,rebnut,rocpig,savspa,sonspa,spotow,swathr,towwar,daejun,varthr,whcspa,yelwar",1,2014980104,4.661000000000058
gurobi,0.7000000000000001,41,37128,"amegfi,annhum,belkin1,bewwre,bnhcow,bkhgro,chbchi,cedwax,coohaw,comrav,eucdov,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,norhar1,olsfly,osprey,pacwre1,pilwoo,purfin,rebnut,rebsap,redcro,rocpig,rethaw,savspa,sora,stejay,swathr,towwar,treswa,daejun,yerwar,vigswa,wilsni1,wlswar,yelwar",1,4516064443,3.9249999999956344
gurobi,0.8,41,37128,"amegfi,amekes,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,bushti,cangoo,cedwax,coohaw,dowwoo,eucdov,evegro,norfli,haiwoo,houspa,norhar1,olsfly,osprey,pacwre1,pilwoo,pasfly,rebnut,rebsap,redcro,rocpig,rethaw,rewbla,sora,sonspa,spotow,stejay,treswa,daejun,varthr,vigswa,warvir,wlswar",1,7519920725,4.694000000003143
gurobi,0.9,41,37128,"amekes,amerob,annhum,brdowl,belkin1,bewwre,bnhcow,brebla,batpig1,chbchi,coohaw,comrav,amecro,eucdov,evegro,foxspa,gockin,haiwoo,houspa,hutvir,macwar,orcwar,olsfly,pacwre1,pinsis,pasfly,rebsap,redcro,rethaw,rufhum,sora,sonspa,stejay,swathr,treswa,daejun,varthr,vigswa,warvir,wlswar,yelwar",1,11913008776,3.596000000005006
